Manager	Package	Version	ReleaseDate	Dependencies
r-conda	r-data.table	1.14.0	2021-02-21	libgcc-ng;llvm-openmp;m2w64-gcc-libs;r-base
r-conda	r-dbi	1.1.1	2021-01-15	r-base
r-conda	r-desc	1.3.0	2021-03-05	r-assertthat;r-base;r-crayon;r-r6;r-rprojroot
r-conda	r-diffobj	0.3.4	2021-05-10	libgcc-ng;m2w64-gcc-libs;r-base;r-crayon
r-conda	r-digest	0.6.27	2020-10-25	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base
r-conda	r-doparallel	1.0.16	2020-10-16	r-base;r-foreach;r-iterators
r-conda	r-dorng	1.8.2	2020-01-27	r-base;r-foreach;r-iterators;r-rngtools
r-conda	r-ellipsis	0.3.2	2021-04-29	libgcc-ng;m2w64-gcc-libs;r-base;r-rlang
r-conda	r-evaluate	0.14	2019-05-28	r-base
r-conda	r-fansi	0.4.2	2021-01-15	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-farver	2.1.0	2021-02-28	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base
r-conda	r-fastmap	1.1.0	2021-01-25	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base
r-conda	r-foreach	1.5.1	2020-10-15	r-base;r-codetools;r-iterators
r-conda	r-foreign	0.8_76	2020-03-03	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-formatr	1.9	2021-04-14	r-base
r-conda	r-formula	1.2_4	2020-10-16	r-base
r-conda	r-fs	1.5.0	2020-07-31	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base
r-conda	r-futile.logger	1.4.3	2017-09-03	r-base;r-futile.options;r-lambda.r
r-conda	r-futile.options	1.0.1	2018-09-16	r-base
r-conda	r-ggplot2	3.3.3	2020-12-30	r-base;r-digest;r-glue;r-gtable;r-isoband;r-mass;r-mgcv;r-rlang;r-scales;r-tibble;r-withr
r-conda	r-glue	1.4.2	2020-08-27	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-gplots	3.1.1	2020-11-28	r-base;r-catools;r-gtools;r-kernsmooth
r-conda	r-gridextra	2.3	2018-01-07	r-base;r-gtable
r-conda	r-gsa	1.03.1	2019-01-31	r-base
r-conda	r-gtable	0.3.0	2019-03-25	r-base
r-conda	r-gtools	3.8.2	2020-03-31	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-highr	0.9	2021-04-16	r-base;r-xfun
r-conda	r-hmisc	4.5_0	2021-02-28	libgcc-ng;libgfortran;libgfortran-ng;libgfortran5;m2w64-gcc-libs;r-acepack;r-base;r-base64enc;r-cluster;r-data.table;r-foreign;r-formula;r-ggplot2;r-gridextra;r-gtable;r-htmltable;r-htmltools;r-lattice;r-latticeextra;r-nnet;r-rpart;r-survival;r-viridis
r-conda	r-htmltable	2.2.1	2021-05-18	r-base;r-checkmate;r-htmltools;r-htmlwidgets;r-knitr;r-magrittr;r-rstudioapi;r-stringr
r-conda	r-htmltools	0.5.1.1	2021-01-25	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-base64enc;r-digest;r-rlang
r-conda	r-htmlwidgets	1.5.3	2020-12-10	r-base;r-htmltools;r-jsonlite;r-yaml
r-conda	r-httpuv	1.6.1	2021-05-07	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-later;r-promises;r-r6;r-rcpp
r-conda	r-isoband	0.2.4	2021-03-03	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-rcpp;r-testthat
r-conda	r-iterators	1.0.13	2020-10-15	r-base
r-conda	r-jquerylib	0.1.4	2021-04-26	r-base;r-htmltools
r-conda	r-jsonlite	1.7.2	2020-12-09	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-kernsmooth	2.23_20	2021-05-20	libblas;libgcc-ng;libgfortran;libgfortran-ng;libgfortran5;m2w64-gcc-libs;r-base
r-conda	r-knitr	1.33	2021-05-11	r-base;r-evaluate;r-highr;r-markdown;r-stringr;r-xfun;r-yaml
r-conda	r-labeling	0.4.2	2020-10-20	r-base
r-conda	r-lambda.r	1.2.4	2019-09-18	r-base;r-formatr
r-conda	r-later	1.2.0	2021-04-23	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-rcpp;r-rlang
r-conda	r-lattice	0.20_44	2021-05-02	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-latticeextra	0.6_29	2019-12-24	r-base;r-jpeg;r-lattice;r-png;r-rcolorbrewer
r-conda	r-lifecycle	1.0.0	2021-02-15	r-base;r-glue;r-rlang
r-conda	r-locfit	1.5_9.4	2020-03-25	libgcc-ng;m2w64-gcc-libs;r-base;r-lattice
r-conda	r-magrittr	2.0.1	2020-11-17	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-markdown	1.1	2019-08-10	libgcc-ng;m2w64-gcc-libs;r-base;r-mime;r-xfun
r-conda	r-mass	7.3_54	2021-05-03	libgcc-ng;m2w64-gcc-libs;r-base
